GCF_000005845.gf NC_000913.3
GCF_000007445.gf NC_004431.1
GCF_000013305.gf NC_008253.1
GCF_000017985.gf NC_012967.1
GCF_000019425.gf NC_010473.1
GCF_000025745.gf NC_017628.1
GCF_000026245.gf NC_011748.1
GCF_000026265.gf NC_011741.1
GCF_000026345.gf NC_011750.1
GCF_000332755.gf NC_020163.1
GCF_000468515.gf NC_022364.1
GCF_000599665.gf NZ_CP007392.1
GCF_001442495.gf NZ_CP013112.1
GCF_001900295.gf NZ_CP010116.1
GCF_001900315.gf NZ_CP010121.1
GCF_002058765.gf NZ_CP019944.1
GCF_003018255.gf NZ_CP027440.1
GCF_003095635.gf NZ_CP029164.1
GCF_003722195.gf NZ_CP033605.1
GCF_004377995.gf NZ_CP054388.1
GCF_008462425.gf NZ_CP043539.1
GCF_010092965.gf NZ_CP048107.1
GCF_013201505.gf NZ_CP053785.1
GCF_902810335.gf NZ_LR778147.1
