locus_tag	ftype	length_bp	gene	EC_number	COG	product
PHGHMBLD_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PHGHMBLD_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
PHGHMBLD_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
PHGHMBLD_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
PHGHMBLD_00005	CDS	399				hypothetical protein
PHGHMBLD_00006	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
PHGHMBLD_00007	CDS	657				hypothetical protein
PHGHMBLD_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
PHGHMBLD_00009	CDS	879	dgoK1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
PHGHMBLD_00010	CDS	618	dgoA	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
PHGHMBLD_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
PHGHMBLD_00012	CDS	186	dgoT_1			D-galactonate transporter
PHGHMBLD_00013	CDS	1050	dgoT_2			D-galactonate transporter
PHGHMBLD_00014	CDS	1065	cbrA		COG0644	Protein CbrA
PHGHMBLD_00015	CDS	1215				hypothetical protein
PHGHMBLD_00016	CDS	261				hypothetical protein
PHGHMBLD_00017	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
PHGHMBLD_00018	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
PHGHMBLD_00019	CDS	1662	aspT_1			Aspartate/alanine antiporter
PHGHMBLD_00020	CDS	717	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
PHGHMBLD_00021	CDS	1617				hypothetical protein
PHGHMBLD_00022	CDS	639	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
PHGHMBLD_00023	CDS	894	rhaR_1			HTH-type transcriptional activator RhaR
PHGHMBLD_00024	CDS	1716	yidK		COG4146	putative symporter YidK
PHGHMBLD_00025	CDS	1494		3.1.6.-		Ulvan-active sulfatase
PHGHMBLD_00026	CDS	450	yidI			Inner membrane protein YidI
PHGHMBLD_00027	CDS	348	yidH		COG2149	Inner membrane protein YidH
PHGHMBLD_00028	CDS	363	yidG			Inner membrane protein YidG
PHGHMBLD_00029	CDS	498				hypothetical protein
PHGHMBLD_00030	CDS	1185	emrD			Multidrug resistance protein D
PHGHMBLD_00031	CDS	90	tisB			Small toxic protein TisB
PHGHMBLD_00032	CDS	99				hypothetical protein
PHGHMBLD_00033	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
PHGHMBLD_00034	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
PHGHMBLD_00035	CDS	591	uhpA		COG2197	Transcriptional regulatory protein UhpA
PHGHMBLD_00036	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
PHGHMBLD_00037	CDS	1320	uhpC		COG2271	Membrane sensor protein UhpC
PHGHMBLD_00038	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
PHGHMBLD_00039	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
PHGHMBLD_00040	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
PHGHMBLD_00041	CDS	453				hypothetical protein
PHGHMBLD_00042	CDS	1239	nepI		COG2814	Purine ribonucleoside efflux pump NepI
PHGHMBLD_00043	CDS	294				hypothetical protein
PHGHMBLD_00044	CDS	819	nlpA		COG1464	Lipoprotein 28
PHGHMBLD_00045	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
PHGHMBLD_00046	CDS	1185	setC			Sugar efflux transporter C
PHGHMBLD_00047	CDS	141				hypothetical protein
PHGHMBLD_00048	tRNA	95				tRNA-SeC(tca)
PHGHMBLD_00049	CDS	1383	yicJ		COG2211	Inner membrane symporter YicJ
PHGHMBLD_00050	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
PHGHMBLD_00051	CDS	1710				hypothetical protein
PHGHMBLD_00052	CDS	1392	xanP		COG2233	Xanthine permease XanP
PHGHMBLD_00053	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
PHGHMBLD_00054	CDS	867				hypothetical protein
PHGHMBLD_00055	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
PHGHMBLD_00056	CDS	690	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
PHGHMBLD_00057	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
PHGHMBLD_00058	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
PHGHMBLD_00059	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
PHGHMBLD_00060	CDS	189	ligB_1	6.5.1.2	COG0272	DNA ligase B
PHGHMBLD_00061	CDS	1518	ligB_2	6.5.1.2	COG0272	DNA ligase B
PHGHMBLD_00062	CDS	618				hypothetical protein
PHGHMBLD_00063	CDS	603				hypothetical protein
