locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMAHJDDK_00001	CDS	2463	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
EMAHJDDK_00002	CDS	933	thrB	2.7.1.39	COG0083	Homoserine kinase
EMAHJDDK_00003	CDS	1287	thrC	4.2.3.1	COG0498	Threonine synthase
EMAHJDDK_00004	CDS	297				hypothetical protein
EMAHJDDK_00005	CDS	777	yaaA		COG3022	Peroxide stress resistance protein YaaA
EMAHJDDK_00006	CDS	1431	alsT		COG1115	Amino-acid carrier protein AlsT
EMAHJDDK_00007	CDS	954	tal_1	2.2.1.2		Transaldolase
EMAHJDDK_00008	CDS	588	mog	2.7.7.75	COG0521	Molybdopterin adenylyltransferase
EMAHJDDK_00009	CDS	567	satP		COG1584	Succinate-acetate/proton symporter SatP
EMAHJDDK_00010	CDS	714				hypothetical protein
EMAHJDDK_00011	CDS	405				hypothetical protein
EMAHJDDK_00012	CDS	1917	dnaK_1		COG0443	Chaperone protein DnaK
EMAHJDDK_00013	CDS	1131	dnaJ		COG0484	Chaperone protein DnaJ
EMAHJDDK_00014	CDS	210				hypothetical protein
EMAHJDDK_00015	CDS	1167	nhaA		COG3004	Na(+)/H(+) antiporter NhaA
EMAHJDDK_00016	CDS	900	nhaR		COG0583	Transcriptional activator protein NhaR
EMAHJDDK_00017	CDS	960				hypothetical protein
EMAHJDDK_00018	CDS	1170	yehB_1		COG3188	Outer membrane usher protein YehB
EMAHJDDK_00019	CDS	777				hypothetical protein
EMAHJDDK_00020	CDS	213				hypothetical protein
EMAHJDDK_00021	CDS	264	rpsT		COG0268	30S ribosomal protein S20
EMAHJDDK_00022	CDS	942	ribF		COG0196	Bifunctional riboflavin kinase/FMN adenylyltransferase
EMAHJDDK_00023	CDS	2817	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
EMAHJDDK_00024	CDS	495	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
EMAHJDDK_00025	CDS	450	fkpB	5.2.1.8	COG1047	FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
EMAHJDDK_00026	CDS	951	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
EMAHJDDK_00027	CDS	915	rihC	3.2.-.-	COG1957	Non-specific ribonucleoside hydrolase RihC
EMAHJDDK_00028	CDS	822	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
EMAHJDDK_00029	CDS	1149	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
EMAHJDDK_00030	CDS	3222	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
EMAHJDDK_00031	CDS	219				hypothetical protein
EMAHJDDK_00032	CDS	396				hypothetical protein
EMAHJDDK_00033	CDS	591	yrdA_1		COG0663	Protein YrdA
EMAHJDDK_00034	CDS	786	caiD	4.2.1.149	COG1024	Carnitinyl-CoA dehydratase
EMAHJDDK_00035	CDS	1554	caiC	6.2.1.48	COG0318	Crotonobetaine/carnitine--CoA ligase
EMAHJDDK_00036	CDS	1218	caiB	2.8.3.21	COG1804	L-carnitine CoA-transferase
EMAHJDDK_00037	CDS	1143	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
EMAHJDDK_00038	CDS	1515	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
EMAHJDDK_00039	CDS	771	fixA_1		COG2086	Protein FixA
EMAHJDDK_00040	CDS	942	fixB_1		COG2025	Protein FixB
EMAHJDDK_00041	CDS	1287	thi4	2.4.2.59		Thiamine thiazole synthase
EMAHJDDK_00042	CDS	288	fixX_1		COG2440	Ferredoxin-like protein FixX
EMAHJDDK_00043	CDS	1332	ygcS_1			Inner membrane metabolite transport protein YgcS
EMAHJDDK_00044	CDS	531	kefF	1.6.5.2	COG2249	Glutathione-regulated potassium-efflux system ancillary protein KefF
EMAHJDDK_00045	CDS	1863	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
EMAHJDDK_00046	CDS	591	folA	1.5.1.3	COG0262	Dihydrofolate reductase
EMAHJDDK_00047	CDS	843	apaH	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]
EMAHJDDK_00048	CDS	378	apaG		COG2967	Protein ApaG
EMAHJDDK_00049	CDS	822	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EMAHJDDK_00050	CDS	990	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
EMAHJDDK_00051	CDS	1287	surA	5.2.1.8	COG0760	Chaperone SurA
EMAHJDDK_00052	CDS	2355	lptD		COG1452	LPS-assembly protein LptD
EMAHJDDK_00053	CDS	816	djlA		COG1076	Co-chaperone protein DjlA
EMAHJDDK_00054	CDS	660	rluA	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
EMAHJDDK_00055	CDS	2907	rapA_1	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
EMAHJDDK_00056	CDS	2352	polB	2.7.7.7	COG0417	DNA polymerase II
EMAHJDDK_00057	CDS	696	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
EMAHJDDK_00058	CDS	1503	araA	5.3.1.4	COG2160	L-arabinose isomerase
EMAHJDDK_00059	CDS	1701	araB	2.7.1.16	COG1069	Ribulokinase
EMAHJDDK_00060	CDS	879	araC			Arabinose operon regulatory protein
EMAHJDDK_00061	CDS	765	yabI		COG0586	Inner membrane protein YabI
EMAHJDDK_00062	CDS	699	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
EMAHJDDK_00063	CDS	1611				hypothetical protein
EMAHJDDK_00064	CDS	984	thiB		COG4143	Thiamine-binding periplasmic protein
EMAHJDDK_00065	CDS	1656	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
EMAHJDDK_00066	CDS	132	sgrT			Putative inhibitor of glucose uptake transporter SgrT
EMAHJDDK_00067	CDS	1179	setA			Sugar efflux transporter A
EMAHJDDK_00068	CDS	606	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
EMAHJDDK_00069	CDS	1401	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
